key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,criteria_1,criteria_2,criteria_3,criteria_4
rayyan-222134272,"Empowering SMEs ""Harnessing the Potential of Gen AI for Resilience and Competitiveness""",2024,,,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,"[""0018-9391"", ""1558-0040     J9  - IEEE T ENG MANAGE     JI  - IEEE Trans. Eng. Manage.""]",71,,14754-14774,"Carayannis, EG and Dumitrescu, R and Falkowski, T and Zota, NR",,English,,"[""George Washington Univ, Sch Business, Washington, DC 20052 USA"", ""Univ Paderborn, Heinz Nixdorf Inst, Dept Elect Engn Comp Sci & Math, D-33102 Paderborn, Germany"", ""Univ Paderborn, D-33102 Paderborn, Germany"", ""Univ Aegean, Dept Informat & Commun Syst Engn, Mitilini 45444, Greece""]","This study investigates how generative artificial intelligence (Gen AI) can enhance the resilience and competitiveness of small and medium enterprises (SMEs). The central question addressed is: How can SMEs leverage Gen AI to navigate challenges and capitalize on opportunities in an evolving digital landscape? We argue that Gen AI offers transformative potential for SMEs by automating processes, enhancing decision-making and fostering innovation, thereby improving their ability to adapt and thrive amidst market uncertainties. Through a comprehensive analysis of SMEs and Gen AI, this article underscores the importance of strategic AI integration, addresses the associated challenges, and provides policy recommendations to support SMEs in harnessing AI for sustainable growth. By exploring real-world examples and theoretical insights, we aim to equip SMEs with the directions, actions, and strategies necessary to succeed in the Gen AI era.",,10.1109/TEM.2024.3456820     WE  - Science Citation Index Expanded (SCI-EXPANDED)     WE  - Social Science Citation Index (SSCI),Artificial intelligence;Technological innovation;Resilience;Generative AI;Navigation;Decision making;Chatbots;AI-driven innovation;AI integration;generative artificial intelligence (Gen AI);small and medium enterprise (SME) growth;SME resilience;technological adaptation;ARTIFICIAL-INTELLIGENCE;ENTERPRISES,,,True,True,False,False
rayyan-222134273,Application of Open AI in Small and Medium-Sized Enterprise (SME) Risk Assessment and Financial Analysis System,2024,,,"KNOWLEDGE MANAGEMENT IN ORGANISATIONS, KMO 2024","[""1865-0929"", ""1865-0937"", ""978-3-031-63268-6"", ""978-3-031-63269-3     J9  - COMM COM INF SC""]",2152,,331-340,"Kang, CC and Zhang, LJ and Wang, JM and Lin, CH",,English,,"Shu Te Univ, Kaohsiung, Taiwan","In recent years, with the rapid development of technology, artificial intelligence (AI) has also been growing rapidly. From widely known applications like Apple's Siri to the recent highly popular ChatGPT, people are leveraging AI for entertainment, learning, creative endeavors, and more. This project aims to utilize the widely acclaimed ChatGPT to create risk assessment and financial analysis tools tailored for small and medium-sized enterprises (SMEs), thereby facilitating business growth.",,10.1007/978-3-031-63269-3_25     WE  - Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH),Artificial Intelligence;Small and Medium-sized Enterprise;SME;OpenAI;Risk Assessment;Financial Analysis,,,True,True,False,False
rayyan-222134274,Enhancing SME resilience through artificial intelligence and strategic foresight: A framework for sustainable competitiveness,2025,6,,TECHNOLOGY IN SOCIETY,"[""0160-791X"", ""1879-3274     J9  - TECHNOL SOC     JI  - Technol. Soc.""]",81,,,"Carayannis, EG and Dumitrescu, R and Falkowski, T and Papamichail, G and Zota, NR",,English,,"[""GWU, SB, Washington, DC 20052 USA"", ""Fraunhofer IEM, Paderborn, Germany"", ""FORTH, STEPC, Iraklion, Greece"", ""Univ Aegean, Mitilini, Greece""]","This article explores the integration of artificial intelligence (AI) and strategic foresight as a comprehensive framework for enhancing resilience in small and medium-sized enterprises (SMEs). It examines AI applications such as predictive analytics, scenario planning, and risk identification to improve operational efficiency and decision-making. By combining AI tools with foresight methodologies, the proposed framework helps SMEs anticipate market disruptions, adapt to evolving business environments, and build sustainable growth strategies. Addressing challenges like financial constraints and regulatory issues, this article provides practical insights for industry professionals and academics, highlighting effective strategies for leveraging AI to strengthen SME resilience and competitiveness.",,10.1016/j.techsoc.2025.102835,SME resilience;Artificial intelligence (AI) in SMEs;Strategic foresight;Competitive advantage in SMEs;Long-term sustainability;Adaptive strategies;Digital transformation;AI-Enhanced forecasting,,,True,True,False,False
rayyan-222134275,The new normal: The status quo of AI adoption in SMEs,2024,8,15,JOURNAL OF SMALL BUSINESS MANAGEMENT,"[""0047-2778"", ""1540-627X     J9  - J SMALL BUS MANAGE     JI  - J. Small Bus. Manag.""]",,,,"Schwaeke, J and Peters, A and Kanbach, DK and Kraus, S and Jones, P",,English,,"[""HHL Leipzig Grad Sch Management, Strateg Entrepreneurship Res Grp, Leipzig, Germany"", ""Woxsen Univ, Sch Business, Hyderabad, India"", ""Free Univ Bozen Bolzano, Fac Econ & Management, Bolzano, Italy"", ""Univ Johannesburg, Dept Business Management, Johannesburg, South Africa"", ""Swansea Univ, Sch Management, Singleton Pk, Swansea SA2 8PP, Wales""]","The recent surge in the adoption of artificial intelligence (AI) by small and medium-sized enterprises (SMEs) has garnered significant research attention. However, the existing literature reveals a fragmented landscape that hinders our understanding of how SMEs use AI. We address this through a systematic literature review wherein we analyze 106 peer-reviewed articles on AI adoption in SMEs and categorize states and trends into eight clusters: (1) compatibility, (2) infrastructure, (3) knowledge, (4) resources, (5) culture, (6) competition, (7) regulation, and (8) ecosystem: according to the technology-organization-environment model. Our research provides valuable insights and identifies significant gaps in existing literature, notably overlooking trends identification as a pivotal driver and neglecting legal requirements. Our study clarifies AI implementation within SMEs, offering a holistic and theoretically grounded perspective to empower researchers and practitioners to facilitate more effective adoption and application of AI within the SME sector.",,10.1080/00472778.2024.2379999,AI;artificial intelligence;small business;SME;technology;ARTIFICIAL-INTELLIGENCE;INFORMATION-TECHNOLOGY;KNOWLEDGE;IMPACT;ENTREPRENEURSHIP;PERFORMANCE;ONTOLOGY;MODEL;TOOL,,,True,True,False,False
rayyan-222134276,Prerequisites for Applying Artificial Intelligence for Scheduling in Small- and Medium-sized Enterprises,2022,,,ICEIS: PROCEEDINGS OF THE 24TH INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS - VOL 1,978-989-758-569-2,,,529-536,"Schkarin, T and Dobhan, A",,English,,"FHWS, Business & Engn, Ignaz Schon Str 11, Schweinfurt, Germany     FU  - Bavarian State Ministry of Economic Affairs, Regional Development and Energy [IUK-1709-0011//IUK530/010]     FX  - This research was conducted as part of the project ""OberA"" funded by the research program ""Informations- und Kommunikationstechnik"" of the Bavarian State Ministry of Economic Affairs, Regional Development and Energy (IUK-1709-0011//IUK530/010), submitted by the University of Applied Sciences Wurzburg-Schweinfurt (FHWS).     PU  - SCITEPRESS     PI  - SETUBAL     PA  - AV D MANUELL, 27A 2 ESQ, SETUBAL, 2910-595, PORTUGAL","With the increasing spread of Artificial Intelligence (AI), the prerequisites for a successful implementation in practice are becoming more relevant for large enterprises as well as for small and medium-sized enterprises (SMEs). The latter are usually characterized by flat hierarchies, high flexibility, but also by a lack of AI experts and data organisation. One field of AI application for SMEs is scheduling as part of production planning. Scheduling belongs to the most relevant digital solution areas for SMEs. In this article, we examine the prerequisites for the application of AI methods in scheduling in SMEs. For identifying relevant prerequisites, we conduct a literature review and combine it with the results of three AI adoption and readiness models. Afterwards, we describe the results of an interview study on our research question. The main findings include a list of prerequisites. We connect our list with already existing approaches for AI adoption and AI readiness with a strong focus on SMEs and scheduling. Furthermore, we conclude that the prerequisites are dependent on the application context. However, the effect of the size of a company on the prerequisites remains unclear.",,10.5220/0011064000003179     WE  - Conference Proceedings Citation Index - Science (CPCI-S),Scheduling;SME;Prerequisites of Artificial Intelligence;FUTURE;CHALLENGES;ALGORITHMS;INTERNET,,,True,True,False,False
rayyan-222134277,Using artificial intelligence to analyze SME e-commerce utilization and growth strategies,2024,,,JOURNAL OF COMPUTATIONAL METHODS IN SCIENCES AND ENGINEERING,"[""1472-7978"", ""1875-8983     J9  - J COMPUT METHODS SCI     JI  - J. Comput. Methods Sci. Eng.""]",24,1,611-621,"Wang, J",,English,,"Jiaozuo Univ, Sch Econ & Management, Jiaozuo, Henan, Peoples R China     PU  - IOS PRESS     PI  - AMSTERDAM     PA  - NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS","With the rapid development of information technology, the application of e-commerce in small and medium-sized enterprises is becoming more and more extensive. E-commerce is a development direction, not a simple transaction method. E-commerce is widely used in financial, service, and retail industries. The addition of e-commerce has promoted the transformation of these industries to informationization. This study uses the analytical capabilities of artificial intelligence to analyze the utilization rate of e-commerce in smes. The article and research ideas are firstly using artificial intelligence to build an analysis model, and secondly, using the results of model analysis to explore the utilization rate of e-commerce in small and medium-sized enterprises. Finally, according to the current situation of e-commerce utilization rate of small and medium-sized enterprises, relevant growth strategies are put forward. This paper builds an e-commerce application analysis model based on artificial intelligence technology. After multi-layer verification, the model has good performance in theory and practice. Using this model to analyze the application rate of e-commerce in small and medium-sized enterprises, we can find that there are still the following problems in the application of e-commerce in small and medium-sized enterprises. (1) Lack of experience and lack of guiding standards (2) Lack of reasonable business strategies (3) Lack of offline interaction with users. In order to solve these problems, small and medium-sized enterprises should (1) strengthen publicity and innovation and promote brand marketing (2) strengthen the cultivation and construction of talents (3) optimize the industrial model and reduce industrial costs (4) improve the industrial model and marketing of e-commerce system.",,10.3233/JCM-226933     WE  - Emerging Sources Citation Index (ESCI),Artificial intelligence;smes;e-commerce;utilization rate;growth strategy,,,True,True,False,False
rayyan-222134278,The Transformative Impact of Cloud Computing on Small and Medium-sized Enterprises (SMEs): A Comprehensive Analysis,2024,,,"2024 INTERNATIONAL CONFERENCE ON SMART APPLICATIONS, COMMUNICATIONS AND NETWORKING, SMARTNETS-2024","[""2837-4932"", ""979-8-3503-8532-8"", ""979-8-3503-8533-5     J9  - Int Conf Smart Commu""]",,,,"Odukoya, O and IEEE",,English,,"E Tennessee State Univ, Dept Comp Sci, Johnson City, TN 37614 USA","Cloud computing emerges as a transformative force in the digital landscape, reshaping the operational efficiency, agility, and competitive advantage for Small and Medium-sized Enterprises (SMEs), marking a pivotal shift in business dynamics. This paper provides a comprehensive analysis of the transformative impact of cloud computing on Small and Medium-sized Enterprises (SMEs), highlighting its role as a catalyst for improved operational efficiency, agility, and competitive advantage in today's digital landscape. Through a qualitative and theoretical exploration of cloud computing adoption, the key benefits of scalability, flexibility, and cost-effectiveness that cloud services provide to SMEs are highlighted. Major cloud service models-Software as a Service (SaaS), Platform as a Service (PaaS), and Infrastructure as a Service (IaaS)-are explored to demonstrate their alignment with the diverse needs of SMEs, enabling them to overcome challenges related to limited capital and the need for rapid market responsiveness.        Additionally, the paper delves into the intersection of cloud computing with emerging trends and technologies such as edge computing, serverless architectures, multi-cloud strategies, artificial intelligence (AI), and the Internet of Things (IoT), underscoring their potential to drive innovation and create value within the SME sector. Furthermore, it addresses the critical aspects of cybersecurity and compliance in the cloud, emphasizing the significance of robust security measures, data protection, and regulatory adherence in fostering a secure and compliant digital ecosystem for SMEs.        The paper concludes by advocating for the strategic adoption of cloud computing as a key factor in achieving sustainable growth and a competitive edge for SMEs, paving the way for future research on the long-term impacts and industry-specific challenges of cloud computing adoption.",,10.1109/SMARTNETS61466.2024.10577703     WE  - Conference Proceedings Citation Index - Science (CPCI-S),Cloud Computing;Small and Medium-sized Enterprises (SMEs);Adoption;Artificial Intelligence(AI),,,True,True,False,False
rayyan-222134280,Artificial intelligence and internet of things in small and medium-sized enterprises: A survey,2021,1,,JOURNAL OF MANUFACTURING SYSTEMS,"[""0278-6125"", ""1878-6642     J9  - J MANUF SYST     JI  - J. Manuf. Syst.""]",58,,362-372,"Hansen, EB and Bogh, S",,English,,"[""Aalborg Univ, Dept Mat & Prod, Robot & Automat Grp, Aalborg, Denmark"", ""Univ Coll Northern Denmark, Technol Educ & Sustainable Growth, Aalborg, Denmark""]","Internet of things (IoT) and artificial intelligence (AI) are popular topics of Industry 4.0. Many publications regarding these topics have been published, but they are primarily focused on larger enterprises. However, small and medium-sized enterprises (SMEs) are considered the economic backbone of many countries, which is why it is increasingly important that these kinds of companies also have easy access to these technologies and can make them operational. This paper presents a comprehensive survey and investigation of how widespread AI and IoT are among manufacturing SMEs, and discusses the current limitations and opportunities towards enabling predictive analytics. Firstly, an overview of the enablers for AI and IoT is provided along with the four analytics capabilities. Hereafter a comprehensive literature review is conducted and its findings showcased. Finally, emerging topics of research and development, making AI and IoT accessible technologies to SMEs, and the associated future trends and challenges are summarised.",,10.1016/j.jmsy.2020.08.009,Artificial intelligence;SME;IoT;Machine learning;Industry 4;0;Predictive analytics;INDUSTRY 4.0;DATA-ACQUISITION;NEURAL-NETWORKS;BIG DATA;SMES;SECURITY;SYSTEM;REQUIREMENTS;PERSPECTIVES;FRAMEWORK,,,True,True,False,False
rayyan-222134281,A Web-Based Expert System Application for Working Capital Management,2023,7,,EGE ACADEMIC REVIEW,1303-099X     J9  - EGE ACAD REV     JI  - Ege Acad. Rev.,23,3,393-408,"Er, B and Güneysu, Y",,English,,"[""Karadeniz Tech Univ, Fac Econ & Adm Sci, Dept Management Informat Syst, Trabzon, Turkiye"", ""Trabzon Univ, FacEcon Adm & Social Sci, Dept Int Trade & Logist, Trabzon, Turkiye""]","The aim of this study is to develop an expert system application called SME Emergency for working capital management (WCM) in Small and Medium-Sized Enterprises (SMEs). SME Emergency performs financial analyses for WCM and thus evaluates the WCM performance of the enterprise. There is no independent audit obligation for SMEs operating in Turkey. Therefore, the data of 283 enterprises listed in the BIST All Shares between 2012 and 2020 were used in the development of this application since they do not differ in terms of working capital characteristics, and the data of publicly traded enterprises are subject to independent auditing. The SME Emergency presents the general performance of the enterprise about WCM. In addition, it evaluates the success of the enterprise according to the industry within the framework of WCM determinants and presents its position compared with enterprises in the industry. In this context, the enterprise's financial performance in terms of WCM can be interpreted, and suggestions can be made in the case of unsuccess.",,10.21121/eab.1145583     WE  - Emerging Sources Citation Index (ESCI),Working Capital Management;SME Emergency;Artificial Intelligence;Expert System;KNOWLEDGE;BUSINESS;PERFORMANCE;FINANCE,,,True,True,True,False
rayyan-222134283,THE MANAGEMENT AND EXCHANGE OF KNOWLEDGE AND INNOVATION IN ENVIRONMENTS OF COLLABORATING SMALL AND MEDIUM SIZED ENTERPRISES,2009,,,"INNOVATION AND KNOWLEDGE MANAGEMENT IN TWIN TRACK ECONOMIES: CHALLENGES & SOLUTIONS, VOLS 1-3",978-0-9821489-0-7,,,1515-+     WE  - Conference Proceedings Citation Index - Science (CPCI-S)     WE  - Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH),"Osanna, PH and Durakbasa, NM and Crisan, L and Bauer, JM",,English,,"Vienna Univ Technol, Inst Prod Engn, A-1040 Vienna, Austria","The importance of small and medium sized enterprises (SMEs) is today far beyond any discussion in countries all over the world - in European countries as well as in Asia and in USA, in Africa as well as in Latin America. To meet market demands in present and future global industrial world, manufacturing enterprises of any kind and any size must be flexible and agile enough to respond quickly to product demand changes. With support of artificial intelligence and modern information technology it is possible to realise modern cost-effective customer-driven design and manufacturing taking into account the importance and basic role of quality management and metrology. This will be especially possible on the basis of the innovative concept and model for modern enterprises the so-called ""Multi-Functions Integrated Factory - MFIF"" that makes possible an agile and optimal industrial production in any kind of industry and especially in up-to-date SMEs.",,,Quality engineering;quality management;TQM;metrology;small and medium sized enterprise SME;information technology;artificial intelligence,,,True,True,False,False
