key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF files,[],match,reason
rayyan-304846720,Correlation Analysis of Factors Affecting Firm Performance and Employees Wellbeing: Application of Advanced Machine Learning Analysis,2022,9,,ALGORITHMS,1999-4893     J9  - ALGORITHMS     JI  - Algorithms,15,9,,"Pap, J and Mako, C and Illessy, M and Dedaj, Z and Ardabili, S and Torok, B and Mosavi, A",,English,,"[""Szechenyi Istvan Univ, Szechenyi Univ Doctoral Sch Management SzEEDSM, H-9026 Gyor, Hungary"", ""Natl Univ Publ Serv, Inst Informat Soc, H-1083 Budapest, Hungary"", ""Eotvos Lorand Res Network, Ctr Social Sci, H-1097 Budapest, Hungary"", ""Univ Pecs, Doctoral Sch Business Adm, H-7622 Pecs, Hungary"", ""Slovak Univ Technol Bratislava, Inst Informat Engn Automat & Math, Bratislava 81243, Slovakia"", ""Obuda Univ, John von Neumann Fac Informat, H-1034 Budapest, Hungary""]","Given the importance of identifying key performance points in organizations, this research intends to determine the most critical intra- and extra-organizational elements in assessing the performance of firms using the European Company Survey (ECS) 2019 framework. The ECS 2019 survey data were used to train an artificial neural network optimized using an imperialist competitive algorithm (ANN-ICA) to forecast business performance and employee wellbeing. In order to assess the correctness of the model, root mean square error (RMSE), mean absolute percentage error (MAPE), mean square error (MSE), correlation coefficient (r), and determination coefficient (R2) have been employed. The mean values of the performance criteria for the impact of internal and external factors on firm performance were 1.06, 0.002, 0.041, 0.9, and 0.83, and the value of the performance metrics for the impact of internal and external factors on employee wellbeing were 0.84, 0.0019, 0.0319, 0.83, and 0.71 (respectively, for MAPE, MSE, RMSE, r, and R2). The great performance of the ANN-ICA model is indicated by low values of MAPE, MSE, and RMSE, as well as high values of r and R2. The outcomes showed that ""skills requirements and skill matching"" and ""employee voice"" are the two factors that matter most in enhancing firm performance and wellbeing.",Excluded,10.3390/a15090300     WE  - Emerging Sources Citation Index (ESCI),organizational performance;machine learning;big data;imperialist competitive algorithm;employee wellbeing;artificial neural networks;firm performance;artificial intelligence;deep learning;data science;IMPERIALIST COMPETITIVE ALGORITHM;PREDICTION;SME,,,,,False,"The article uses ANN to forecast firm performance but does not focus on SMEs or explore AI adoption benefits, challenges, or best practices in SME operations."
rayyan-304846721,Understanding engagement with Instagram posts about tourism destinations,2024,12,,JOURNAL OF DESTINATION MARKETING & MANAGEMENT,"[""2212-571X"", ""2212-5752     J9  - J DESTIN MARK MANAGE     JI  - J. Destin. Mark. Manag.""]",34,,,"Blanco-Moreno, S and González-Fernández, AM and Muñoz-Gallego, PA and Casaló, LV",,English,,"[""Univ Leon, Leon, Spain"", ""Univ Leon, Dept Business Management & Econ, Leon, Spain"", ""Univ Salamanca, Area Mkt & Market Res, Salamanca, Spain"", ""Univ Zaragoza, Mkt, Zaragoza, Spain""]","This study analyses the social media engagement (SME) received by Instagram posts from a tourism destination based on communication and mental imagery theories. This research considers both the type of sender (tourists vs. residents) and the content of the message (pictorial stimuli: places of interest vs. hospitality services; centricity stimuli: people vs. without people). Web scraping technique is used for data collection. Content analysis is then applied on 27,088 Instagram posts using artificial intelligence techniques (machine learning and deep learning); and a univariate generalized linear model is conducted to analyze differences in SME. Results show that pictorial stimulus determines SME, being higher for images focused on places of interest, and photographs with people get higher SME too. The type of sender also influences SME and exerts a moderating role reinforcing the effect of centricity on SME for tourists. These results provide interesting insights for destination marketing managers and Instagram users.",Excluded,10.1016/j.jdmm.2024.100948,Instagram;Destination image;Artificial intelligence;Machine learning;Deep learning;Social media engagement;GENERATED CONTENT DIFFER;SOCIAL MEDIA;IMAGERY;PHOTOGRAPHS;PERFORMANCE;MANAGEMENT;RESIDENTS;IDENTITY;REVIEWS;ROLES,,,,,False,"The article focuses on social media engagement analysis using AI techniques in tourism marketing, not on AI adoption by SMEs for operational performance or competitiveness."
rayyan-304846728,A Systematic Review and Comprehensive Analysis of AI-Enabled Re-Skilling and Upskilling in Education: Transformative Strategies for the Future,2024,,,"2024 21ST INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY BASED HIGHER EDUCATION AND TRAINING, ITHET","[""2380-1603"", ""979-8-3315-1664-2"", ""979-8-3315-1663-5     J9  - INT CONF INFO TECH""]",,,,"Al Tawara, A and El-Den, J and Gide, E and Sebastian, Y and IEEE",,English,,"Charles Darwin Univ, Fac Sci & Technol, Sydney, Australia","The evolution of Artificial Intelligence (AI) is reshaping education by enabling adaptive re-skilling and upskilling strategies that align with the digital economy's demands. This paper systematically reviews and analyzes AI-enabled learning approaches, emphasizing the transformative impact of AI on personalized education and skills development. Using Social Media Marketing (SMM) in Jordanian Small and Medium-sized Enterprises (SMEs) as a case study, we examine how AI-driven marketing strategies-specifically those involving customer engagement and content optimization-can inform similar applications in education. Our mixed-methods research combines qualitative insights from SME stakeholders with quantitative surveys on AI's impact on SMM, analyzing its effectiveness in enhancing engagement, predicting trends, and improving ROI.        These findings are visualized in key diagrams, including a process flowchart for re-skilling and upskilling, entity-relationship diagrams for AI applications in SMEs, and pie charts highlighting AI's impact on engagement and learning. The study identifies critical barriers to AI adoption in education, such as technical constraints, financial limitations, and ethical challenges, represented in visual aids to enhance clarity. Practical strategies to address these challenges are presented, providing educators, policymakers, and stakeholders with a roadmap for integrating AI to foster continuous learning and innovation. This research offers a foundation for AI-driven educational strategies that can adapt to the evolving needs of a global workforce.",Included,10.1109/ITHET61869.2024.10837638     WE  - Conference Proceedings Citation Index - Science (CPCI-S)     WE  - Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH),Artificial Intelligence;Re-Skilling;Upskilling;Education;SMEs;Social Media Marketing;Personalized Learning;Digital Transformation;Machine Learning;Deep Learning;Adaptive Learning;AI-Enabled Education,,,,,True,"The article examines AI-driven strategies in Jordanian SMEs, focusing on AI's impact on social media marketing and adoption challenges, aligning with the research on AI use in SME operations and its influence on performance and competitiveness."
rayyan-304846731,Explainable FinTech lending,2023,5,,JOURNAL OF ECONOMICS AND BUSINESS,0148-6195     J9  - J ECON BUS     JI  - J. Econ. Bus.,125,,,"Babaei, G and Giudici, P and Raffinetti, E",,English,,"Univ Pavia, Dept Econ & Management, Via San Felice 5, I-27100 Pavia, Italy","Lending activities, especially for small and medium enterprises (SMEs), are increasingly based on financial technologies, facilitated by the availability of advanced machine learning (ML) methods that can accurately predict the financial performance of a company from the available data sources. However, despite their high predictive accuracy, ML models may not give users sufficient interpretation of the results. Therefore, it may not be adequate for informed decision-making, as stated, for example, in the recently proposed artificial intelligence (AI) regulations. To fill the gap, we employed Shapley values in the context of model selection. Thus, we propose a model selection method based on predictive accuracy that can be employed for all types of ML models, those with a probabilistic background, as in the current state-of-the-art. We applied our proposal to a credit-scoring database with more than 100,000 SMEs. The empirical findings indicate that the risk of investing in a specific SME can be predicted and interpreted well using a machinelearning model which is both predictively accurate and explainable.",Included,10.1016/j.jeconbus.2023.106126,Fintech;Credit scoring;Artificial intelligence;Machine learning;Shapley values,,,,,True,"The article discusses the use of machine learning models in SME financial performance prediction, addressing both predictive accuracy and interpretability, which aligns with investigating AI/ML adoption and its impact on SMEs' operations and decision-making."
rayyan-304846733,A pathway to bypassing market entry barriers from data network effects: A case study of a start-up's use of machine learning,2023,11,,JOURNAL OF BUSINESS RESEARCH,"[""0148-2963"", ""1873-7978     J9  - J BUS RES     JI  - J. Bus. Res.""]",168,,,"Haftor, DM and Costa-Climent, R and Navarrete, SR",,English,,"[""Uppsala Univ, Box 513, SE-75120 Uppsala, Sweden"", ""Univ Econ & Human Sci, Warsaw, Poland"", ""ESICS Univ Madrid, Madrid, Spain""]","Highly valued firms exploit machine learning to activate data network effects. Data is gathered and analyzed to generate predictions and recommendations. This loop locks in existing service users and locks out potential competitors, thus creating a sizeable entry barrier, particularly for small and medium-sized (SME) enterprises. The literature does not describe the possible pathways to enter markets protected by incumbents' data network effects. This study examines an SME that successfully entered such a market. A key finding is that, for successful market entry, an SME can focus on different stakeholders from those that are targeted by incumbents, provided such stakeholders can legitimize the SME's use of user data generated by incumbents.",Included,10.1016/j.jbusres.2023.114244,Artificial intelligence;Machine learning;Market entry;Legitimacy;SMEs;Stakeholders;INFORMATION-TECHNOLOGY CAPABILITY;FIRM PERFORMANCE;HEMOPHILIA-A;ARTIFICIAL-INTELLIGENCE;MANAGEMENT;INNOVATION;MODEL;ACCEPTANCE;STRATEGIES;RESOURCES,,,,,True,"The article discusses how an SME uses machine learning in a competitive market context, highlighting challenges and strategies relevant to AI adoption and SME competitiveness, aligning with the research focus."
rayyan-304846734,Bridging the Knowledge Gap in Artificial Intelligence: The Roles of Social Media Exposure and Information Elaboration,2024,8,,SCIENCE COMMUNICATION,"[""1075-5470"", ""1552-8545     J9  - SCI COMMUN     JI  - Sci. Commun.""]",46,4,399-430,"Li, WB and Xu, S and Zheng, X and Sun, RY",,English,,"[""SUNY Stony Brook, Stony Brook, NY USA"", ""Texas Tech Univ, Lubbock, TX USA"", ""Univ Georgia, Athens, GA USA"", ""SUNY Stony Brook, Sch Commun & Journalism, Melville Lib N4004, Stony Brook, NY 11794 USA""]","This study examined how social media influence the knowledge gap between low and high socioeconomic status (SES) groups in artificial intelligence (AI), a highly debated scientific subject warranting immediate scholarly attention. A national survey of U.S. adults (N = 965) was conducted. The results showed that education and social media exposure to AI information (SME) predicted greater AI knowledge, and SME did not moderate the SES-based AI knowledge gap. Furthermore, information elaboration moderated the association between SME and the AI knowledge gap. SME was associated with a smaller AI knowledge gap when information elaboration was high rather than low.",Excluded,10.1177/10755470241232352,artificial intelligence;AI;social media;knowledge gap;information elaboration;GENDER-DIFFERENCES;DIGITAL DIVIDE;PUBLIC KNOWLEDGE;MASS-MEDIA;SCIENCE;HYPOTHESIS;EDUCATION;NEWS;AGE;COMMUNICATION,,,,,False,"The article focuses on social media's influence on AI knowledge gaps among socioeconomic groups, not on SMEs' use of AI technologies in their operations."
rayyan-304846737,Harnessing artificial intelligence for strategic decision-making: the catalyst impact of digital leadership,2025,2,28,ASIA-PACIFIC JOURNAL OF BUSINESS ADMINISTRATION,"[""1757-4323"", ""1757-4331     J9  - ASIA-PAC J BUS ADM     JI  - Asia-Pac. J. Bus. Adm.""]",,,,"Jaboob, M and Al-Ansi, AM and Al-Okaily, M and Ferasso, M",,English,,"[""Dhofar Univ, Coll Commerce & Business Adm, Salalah, Oman"", ""Dhofar Univ, Coll Commerce & Business Adm, Dept Management, Salalah, Oman"", ""Jadara Univ, Sch Business, Irbid, Jordan"", ""Lusofona Univ, Intrepid Lab, Lisbon, Portugal"", ""Univ Autonoma Chile, Grp Invest Estudios Org Sostenibles, Santiago, Chile""]","PurposeArtificial intelligence (AI) applications enable entrepreneurs in small and medium-sized enterprises (SMEs) to make strategic decisions based on more accurate predictions and modeling scenarios to achieve operational efficiency and profitability. This research aims to investigate the role of AI applications in enhancing strategic decision-making (SDM) through the mediating role of digital leadership (DL).Design/methodology/approachThe sample included 306 Omani entrepreneurs from SMEs randomly sampled to collect data from different SME industrial incubators. To test hypotheses, structural equation modeling (SEM), regression and confirmatory factor analysis and Process V4 to test the mediating role of DL were used.FindingsResults reveal that AI applications have a positive and significant impact on SDM and DL. Furthermore, DL has a positive and significant impact on SDM. The results also reveal that DL enhances the relationship between AI applications and SDM in Omani SMEs.Originality/valueThis research provides evidence regarding SMEs in the Arabian context and the ability of AI application adoption to improve productivity and sustainability in the economic sector.",Included,10.1108/APJBA-12-2024-0706,Artificial intelligence;AI applications;Strategic decision-making;Digital leadership;Omani SMEs;FUTURE;CHALLENGES,,,,,True,"The article investigates AI applications in SMEs, focusing on their impact on strategic decision-making and operational efficiency, which aligns with the research on AI adoption and its influence on SME performance and competitiveness."
rayyan-304846738,Power Consumption and Process Cost Prediction of Customized Products Using Explainable AI: A Case in the Steel Industry,2024,,,"FLEXIBLE AUTOMATION AND INTELLIGENT MANUFACTURING: ESTABLISHING BRIDGES FOR MORE SUSTAINABLE MANUFACTURING SYSTEMS, FAIM 2023, VOL 2","[""2195-4356"", ""2195-4364"", ""978-3-031-38164-5"", ""978-3-031-38165-2     J9  - LECT N MECH ENG""]",,,1183-1193,"Aikenov, T and Hidayat, R and Wicaksono, H",,English,,"[""Constructor Univ, Sch Business Social & Decis Sci, Bremen, Germany"", ""Sunan Kalijaga State Islamic Univ, Fac Sci & Technol, Dept Informat, Yogyakarta, Indonesia""]","Production shifted from a product-centered perspective (mass production of one article) to a customer-centered perspective (mass customization of product variants). It also happens in energy-intensive industries, such as steel production. Mass customization companies face a challenge in accurately estimating the total costs of an individual product. Furthermore, 20% to 40% of the costs related to steel products come from energy. Increasing the product variety can cause an inevitable loss of sustainability. This paper presents machine-learning approaches to improve the sustainability of the steel production industry. It is done by finding the most accurate way to predict the power consumption and the costs of customized products. Moreover, this research also finds the most energy-efficient machine mix based on the predictions. The method is validated in a steel manufacturing Small Medium Enterprise (SME). In this research, experiments were conducted with different machine learning models, and it was found that the most accurate results were achieved using regularization-based and random forest regression models. Explainable AI (XAI) is also used to clarify how product properties influence process costs and power consumption. This paper also discusses scenarios on how the prediction of costs and power consumption can assist production planners in performing workstation selection. This research improves the production planning of customized products by providing a trustable decision support system for machine selection based on explainable machine learning models for process time and power consumption predictions.",Included,10.1007/978-3-031-38165-2_135     WE  - Conference Proceedings Citation Index - Science (CPCI-S),Machine learning;sustainable manufacturing;mass customization;data-driven manufacturing;power consumption prediction;Explainable Artificial Intelligence (XAI);REGRESSION;SELECTION,,,,,True,"The article discusses the use of machine learning in an SME to improve production planning and sustainability, directly relating to AI/ML adoption in SME operations and its impact on organizational performance."
rayyan-304846743,Identification Overview of Industry 4.0 Essential Attributes and Resource-Limited Embedded Artificial-Intelligence-of-Things Devices for Small and Medium-Sized Enterprises,2022,6,,APPLIED SCIENCES-BASEL,2076-3417     J9  - APPL SCI-BASEL     JI  - Appl. Sci.-Basel,12,11,,"Barton, M and Budjac, R and Tanuska, P and Gaspar, G and Schreiber, P",,English,,"[""Slovak Univ Technol Bratislava, Fac Mat Sci & Technol Trnava, Inst Appl Informat Automat & Mechatron, J Bottu 2744-24, Trnava 91724, Slovakia"", ""Univ Zilina, Res Ctr, Univ 8215-1, Zilina 01026, Slovakia""]","Nowadays there is a growing demand for small- and medium-sized enterprises (SMEs) to improve their level of digitalisation. This situation becomes even more critical in cases when SMEs act in the role of a subcontractor of large enterprises who demand the utilisation of certain digital operations. This paper aims to identify the essential Industry 4.0 attributes for the requirements of SMEs that enterprises can purchase to deploy an adequate solution with a view of increasing their competitiveness in the market. By analysing research articles and statistical data from the worldwide Web of Science database, we identify the major Industry 4.0 attributes for SME: Internet of Things (IoT), Big Data, Artificial Intelligence (AI), Cloud Computing, Simulation and Cybersecurity. Based on the review results and a survey by the European Commission, we propose devices primarily designed to implement AI tasks in industrial environments that meet the essential attributes for SMEs and have low entry costs. The subject of IoT is thoroughly addressed. Its subsets and the relationship between Industrial Internet of Things (IIoT) and Artificial Intelligence of Things (AIoT) are introduced and described. The characteristics of the listed devices as related to usability in the identified attributes are verified. Therefore, the description of the devices is provided with respect to their usability in SMEs. The main purpose of this paper is to identify attributes for SMEs and to develop strategic plans for the digitalisation requirements, particularly in the development of Artificial Intelligence as part of the implementation of the IoT pillar.",Included,10.3390/app12115672     WE  - Science Citation Index Expanded (SCI-EXPANDED),Industry 4;0;Artificial Intelligence;Big Data;Smart Factory;resource-limited devices;AIoT;deep learning;edge AI;BIG DATA;TECHNOLOGIES;INTERNET;SYSTEMS,,,,,True,"The article focuses on AI adoption in SMEs, specifically identifying AI-related Industry 4.0 attributes and digitalization strategies, which aligns with investigating AI use, benefits, and challenges in SME operations."
rayyan-304846745,"An approach for process optimisation of the Automated Fibre Placement (AFP) based thermoplastic composites manufacturing using Machine Learning, photonic sensing and thermo-mechanics modelling",2022,4,,MANUFACTURING LETTERS,2213-8463     J9  - MANUF LETT     JI  - Manuf. Lett.,32,,10-14,"Islam, F and Wanigasekara, C and Rajan, G and Swain, A and Prusty, BG",,English,,"[""Unsw Sydney, Sch Mech & Mfg Engn, ARC Training Ctr Automated Manufacture Adv Compos, Sydney, NSW 2052, Australia"", ""Univ Bremen, Ctr Ind Math, D-28359 Bremen, Germany"", ""Cardiff Metropolitan Univ, Cardiff Sch Technol, Cardiff CF5 2YB, Wales"", ""Univ Auckland, Dept Elect Comp & Software Engn, Auckland 1023, New Zealand""]","The automated fibre placement (AFP) process is a complex manufacturing technique with many variables which affect the final part quality. Inverse Machine Learning (ML) models can be used as decision-aid tools for optimising thermoplastic composites manufacturing. However, a common challenge of ML application in manufacturing is the acquisition of relevant and sufficient data. To overcome this small data learning problem, a hybrid approach has been proposed here which combines the benefits of ML algorithms such as the Artificial Neural Networks (ANN), virtual sample generation (VSG) methods, physics-based numerical simulations and data obtained from experiments and photonic sensors, to enhance the manufacturing process. (c) 2022 Society of Manufacturing Engineers (SME). Published by Elsevier Ltd. All rights reserved.",Excluded,10.1016/j.mfglet.2022.01.002,Automated Fibre Placement (AFP);Machine Learning;Virtual Sample Generation (VSG),,,,,False,"The article focuses on using ML and ANN for optimizing manufacturing processes, not on AI adoption by SMEs or its impact on organizational performance and competitiveness."
